"Altitude[m]","Temperature[Kelvin]","Pressure[pascal]","Density[kg/m3]"
65800,229.21,8.81186,0.000133928
65850,229.07,8.74641,0.000133015
65900,228.93,8.68141,0.000132107
65950,228.79,8.61686,0.000131205
66000,228.65,8.55275,0.000130308
66050,228.51,8.48907,0.000129417
66100,228.37,8.42583,0.000128532
66150,228.23,8.36302,0.000127652
66200,228.09,8.30064,0.000126778
66250,227.95,8.23869,0.000125909
66300,227.81,8.17717,0.000125046
66350,227.67,8.11607,0.000124187
66400,227.53,8.05538,0.000123335
66450,227.39,7.99512,0.000122487
66500,227.25,7.93526,0.000121645
66550,227.11,7.87582,0.000120809
66600,226.97,7.81679,0.000119977
66650,226.83,7.75816,0.000119151
66700,226.69,7.69994,0.00011833
66750,226.55,7.64212,0.000117514
66800,226.41,7.5847,0.000116703
66850,226.27,7.52767,0.000115897
66900,226.13,7.47104,0.000115096
66950,225.99,7.4148,0.000114301
67000,225.85,7.35895,0.00011351
67050,225.71,7.30349,0.000112724
67100,225.57,7.24841,0.000111944
67150,225.43,7.19371,0.000111168
67200,225.29,7.13939,0.000110397
67250,225.15,7.08544,0.000109631
67300,225.01,7.03187,0.00010887
67350,224.87,6.97868,0.000108113
67400,224.73,6.92585,0.000107362
67450,224.59,6.87339,0.000106615
